# M    R    Rdot     T      X_He     X_C    X_O    X_Ne    X_Mg    X_Si    X_Ni
# Energy = -2.47574e+50 ergs
9.94275e+30 3.04538e+07 0 3.38844e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 3.85543e+07 0 3.40471e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 4.43134e+07 0 3.42105e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 4.89519e+07 0 3.43747e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 5.29107e+07 0 3.45397e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 5.64057e+07 0 3.47055e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 5.95606e+07 0 3.48721e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 6.24535e+07 0 3.50395e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 6.51376e+07 0 3.52077e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 6.76505e+07 0 3.53767e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 7.00204e+07 0 3.55465e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 7.22684e+07 0 3.57171e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 7.44115e+07 0 3.58885e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 7.6463e+07 0 3.60608e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 7.84337e+07 0 3.62339e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 8.03327e+07 0 3.64078e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 8.21674e+07 0 3.65826e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 8.39444e+07 0 3.67582e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 8.56689e+07 0 3.69346e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 8.73458e+07 0 3.71119e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 8.8979e+07 0 3.729e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 9.05722e+07 0 3.7469e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 9.21284e+07 0 3.76489e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 9.36506e+07 0 3.78296e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 9.5141e+07 0 3.80112e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 9.6602e+07 0 3.81936e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 9.80355e+07 0 3.8377e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 9.94434e+07 0 3.85612e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.00827e+08 0 3.87463e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.02189e+08 0 3.89323e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.03529e+08 0 3.91191e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.04849e+08 0 3.93069e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.0615e+08 0 3.94956e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.07434e+08 0 3.96852e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.08701e+08 0 3.98757e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.09951e+08 0 4.00671e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.11187e+08 0 4.02594e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.12409e+08 0 4.04526e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.13617e+08 0 4.06468e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.14812e+08 0 4.08419e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.15995e+08 0 4.1038e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.17166e+08 0 4.1235e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.18326e+08 0 4.14329e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.19475e+08 0 4.16318e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.20614e+08 0 4.18316e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.21744e+08 0 4.20324e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.22864e+08 0 4.22341e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.23976e+08 0 4.24369e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.25079e+08 0 4.26406e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.26174e+08 0 4.28452e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.27262e+08 0 4.30509e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.28342e+08 0 4.32576e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.29415e+08 0 4.34652e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.30481e+08 0 4.36738e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.31541e+08 0 4.38835e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.32595e+08 0 4.40941e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.33643e+08 0 4.43058e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.34685e+08 0 4.45184e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.35722e+08 0 4.47321e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.36753e+08 0 4.49468e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.3778e+08 0 4.51626e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.38802e+08 0 4.53794e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.3982e+08 0 4.55972e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.40833e+08 0 4.58161e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.41842e+08 0 4.6036e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.42847e+08 0 4.62569e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.43848e+08 0 4.6479e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.44846e+08 0 4.67021e+07 0 0.5 0.5 0 0 0 0
9.94275e+30 1.45841e+08 0 4.69263e+07 0 0.5 0.5 0 0 0 0
