# M    R    Rdot     T      Y_He     Y_C    Y_O    Y_Ne    Y_Mg    Y_Si    Y_Ni
# Energy = -2.04219e+50 ergs
1.98855e+31 2.37984e+08 0 9.20679e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.40474e+08 0 9.17907e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.4298e+08 0 9.17047e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.45503e+08 0 9.15103e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.48044e+08 0 9.13605e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.50604e+08 0 9.11818e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.53185e+08 0 9.1008e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.55789e+08 0 9.08247e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.58416e+08 0 9.0638e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.61068e+08 0 9.04454e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.63747e+08 0 9.02475e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.66455e+08 0 9.00436e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.69193e+08 0 8.98336e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.71964e+08 0 8.96168e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.74768e+08 0 8.93929e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.77609e+08 0 8.91613e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.80489e+08 0 8.89215e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.83411e+08 0 8.86729e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.86377e+08 0 8.84145e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.8939e+08 0 8.81455e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.92454e+08 0 8.78651e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.95571e+08 0 8.75723e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.98746e+08 0 8.72662e+06 0 0.0416667 0.03125 0 0 0 0
